Ho,EP,EN,Year,Type,IT,,,,
57,1,-1,1988.626,BS,Kraan-Korteweg,,,,
89,10,-10,1988.874,O,Melnick,,,,
75,15,-15,1989,L,Lehar,,,,
105,35,-35,1989.02,L,Vandereist \etal 1989,,,,
88,26,-20,1989.874,F,Tonry,,,,
90,15,-15,1989.207,HK,Aaronson \etal 1989,,,,
85,5,-5,1989.708,D,Pierce,,,,
72,3,-3,1989.5,B,Gouguenheim,,,,
67,8,-8,1989.55,AV,vandenBergh 1989,,,,
24,13,-10,1990.04,O,McHardy \etal 1990,,,,
68,8,-8,1990.054,B,Fouque,,,,
73,10,-10,1990.2,A,Visvanathan 1990,,,,
87,13,-12,1990.472,PK,Jacoby,,,,
71,4,-3,1990.5,B,Gouguenheim,,,,
45,3,-3,1990.944,AS,Sandage \& Tammann 1990 ApJ 365,,,,
70,10,-10,1991,A,Rowan-Robinson,,,,
84,10,-10,1991.02,A,Pierce,,,,
52,2,-2,1991.04,AS,Tammann,,,,
69,14,-14,1991.06,A,Pritchet,,,,
50,17,-17,1991.223,L,Rhee,,,,
82,7,-7,1991.387,F,Tonry,,,,
52,2,-2,1991.5,A,Burbidge,,,,
55,15,-15,1991.52,Z,Birkinshaw,,,,
92,21,-17,1991.554,B,Fukugita,,,,
45,12,-12,1991.753,Z,Birkinshaw,,,,
87,12,-12,1991.97,PK,Ciardullo \etal 1991,,,,
90,10,-10,1992.25,A,Tully,,,,
85,10,-10,1992.297,AK,Huchra,,,,
55,25,-25,1992.5,L,Refsdal in Gravitational Lenses,,,,
45,9,-9,1992.943,SS,Saha,,,,
80,12,-12,1992.6,A,Jacoby,,,,
44,3,-3,1992.75,O,Duemmler,,,,
63,3,-3,1992.78,O,Duemmler,,,,
77,8,-8,1992.919,O,Lauer and Postman 1992,,,,
43,11,-11,1993.002,OS,Sandage 1993,,,,
44,12,-12,1993.5,OS,Sandage 1993,,,,
90,10,-10,1993.52,A,Tully 1993,,,,
58,10,-10,1993.54,S,Schmidt,,,,
86,18,-18,1993.6,P,Mendez \etal A\&A 275,,,,
47,5,-5,1993.72,SS,Sandage 1993,,,,
89,6,-6,1993.722,AV,deVaucouleurs 1993,,,,
85,4,-4,1993.724,GV,deVaucouleurs 1993,,,,
75,8,-8,1993.777,G,McMillan \etal 1993,,,,
55,17,-17,1994.002,Z,Birkinshaw \& Hughes 1994,,,,
53,8,-8,1994.169,SS,Sandage \etal 1994,,,,
52,9,-9,1994.278,SS,Saha \etal 1994,,,,
81,17,-15,1994.291,S,Schmidt \etal 1994,,,,
73,7,-7,1994.669,S,Schmidt \etal 1994,,,,
80,17,-17,1994.823,TK,Freedman,,,,
67,7,-7,1995,S,Riess,,,,
52,8,-8,1995.002,SS,Saha \etal 1995,,,,
58,6,-6,1995.25,Z,Rephaeli 1995,,,,
55,7,-7,1995.44,AS,Sandage,,,,
50,5,-5,1995.5,AS,Sandage 1995,,,,
60,4,-4,1995.55,S,Fisher,,,,
71,30,-25,1995.61,Z,Herbig \etal 1995,,,,
80,17,-17,1995.637,TK,Mould \etal 1995,,,,
69,8,-8,1995.686,A,Tanvir,,,,
80,17,-17,1995.791,TK,Kennicutt,,,,
70,13,-13,1995.804,O,Della Valle \& Livio 1995,,,,
57,3,-2,1995.86,SV,VandenBergh,,,,
78,11,-11,1995.917,G,Whitmore,,,,
70,9,-9,1995.93,AK,Freedman,,,,
55,10,-10,1995.94,AS,Tammann,,,,
69,8,-8,1995.95,O,Tanvir,,,,
78,11,-11,1995.96,G,Sparks,,,,
81,8,-8,1995.976,OV,VandenBergh,,,,
66,6,-6,1995.99,S,Riess,,,,
50,2,-2,1996,AS,Tammann,,,,
77,22,-2,1996.02,AV,VandenBergh,,,,
56,5,-5,1996.05,OS,Sandage,,,,
55,5,-5,1996.07,OS,Sandage,,,,
55,10,-10,1996.1,AS,Tammann,,,,
84,4,-4,1996.143,PK,Ford,,,,
76,8,-8,1996.15,O,Zasov 1996,,,,
67,9,-9,1996.17,S,Hoeflich,,,,
57,4,-4,1996.22,SS,Sandage,,,,
65,8,-8,1996.25,S,Hendry \& Kanbur 1996,,,,
55,3,-3,1996.26,S,Schaefer,,,,
57,4,-4,1996.333,S,Schaefer,,,,
40,10,-10,1996.375,Z,Lasenby \& Jones 1997,,,,
70,5,-5,1996.377,R,Giovanelli,,,,
60,3,-3,1996.379,SS,Saha,,,,
54,4,-4,1996.381,SS,Tammann,,,,
73,10,-10,1996.383,TK,Mould \etal 1997,,,,
73,10,-10,1996.385,TK,Freedman,,,,
74,11,-11,1996.38,TK,Bureau,,,,
82,13,-13,1996.387,G,Whitmore,,,,
81,6,-6,1996.389,F,Tonry,,,,
62,9,-9,1996.44,GS,Sandage,,,,
85,10,-13,1996.444,L,Grogin,,,,
60,10,-10,1996.48,A,Gouguemheim,,,,
55,10,-10,1996.5,AS,Tammann,,,,
68,7,-7,1996.53,S,Ruiz La Puente,,,,
